               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 119,            0.028013,             0.03313,           0.0001449,             0.57856,              0.7846,             0.56944,             0.35948,            0.031288,             0.03608,          0.00032169,            0.004159,            0.004159,            0.004159
                 120,            0.028011,            0.032576,          0.00012983,             0.58324,             0.65871,             0.55462,             0.34996,            0.030815,            0.035363,          0.00020002,           0.0041095,           0.0041095,           0.0041095
                 121,            0.027174,             0.03334,          0.00010752,             0.59969,             0.71696,             0.56421,             0.34526,            0.031485,            0.035697,          0.00029054,             0.00406,             0.00406,             0.00406
                 122,            0.027615,            0.031995,          0.00011865,             0.60302,             0.78171,             0.56964,             0.36489,            0.030588,            0.035535,          0.00022888,           0.0040105,           0.0040105,           0.0040105
                 123,            0.027744,            0.033225,          0.00012257,             0.73897,             0.71583,             0.66164,             0.41192,            0.031119,            0.035788,          0.00017998,            0.003961,            0.003961,            0.003961
                 124,            0.027111,            0.032627,          0.00016281,             0.61355,             0.71808,             0.61101,             0.39628,            0.030781,            0.035099,           0.0003379,           0.0039115,           0.0039115,           0.0039115
                 125,            0.027824,            0.033668,          0.00011265,             0.68403,             0.71696,             0.62056,             0.37992,            0.030682,            0.035478,          0.00027529,            0.003862,            0.003862,            0.003862
                 126,            0.027679,            0.034534,          0.00012883,             0.58983,             0.65896,             0.57228,             0.37762,            0.031156,            0.035611,          0.00034736,           0.0038125,           0.0038125,           0.0038125
                 127,            0.027544,            0.033378,          0.00015263,             0.58742,             0.65402,              0.5348,               0.356,            0.030844,            0.035195,          0.00030578,            0.003763,            0.003763,            0.003763
                 128,            0.027572,            0.032709,          0.00012389,              0.7495,              0.7808,             0.70966,             0.43565,            0.031212,             0.03524,          0.00029115,           0.0037135,           0.0037135,           0.0037135
                 129,            0.027762,            0.032978,          0.00026263,             0.73464,             0.65344,             0.67288,             0.43085,            0.031123,            0.035226,          0.00024479,            0.003664,            0.003664,            0.003664
                 130,            0.027915,            0.033376,          0.00012277,             0.68571,             0.71897,             0.64473,             0.41376,            0.031099,            0.035664,            0.000244,           0.0036145,           0.0036145,           0.0036145
                 131,            0.027063,            0.032896,          0.00013768,             0.73814,             0.71205,             0.65428,             0.40757,             0.03059,            0.035492,          0.00028479,            0.003565,            0.003565,            0.003565
                 132,            0.027407,            0.032693,          0.00010788,             0.61419,             0.78013,             0.61905,             0.38846,            0.031241,            0.035374,          0.00020619,           0.0035155,           0.0035155,           0.0035155
                 133,            0.027032,            0.032063,          0.00011245,             0.63568,             0.72188,              0.5813,             0.37347,            0.030701,            0.034993,          0.00025743,            0.003466,            0.003466,            0.003466
                 134,            0.027392,            0.032895,           0.0001154,             0.69689,             0.63953,             0.62132,             0.38608,            0.031474,            0.035551,          0.00030614,           0.0034165,           0.0034165,           0.0034165
                 135,            0.026877,            0.032938,          0.00011259,             0.60062,             0.78348,              0.5944,             0.37691,            0.030948,            0.035677,          0.00025175,            0.003367,            0.003367,            0.003367
                 136,            0.026862,            0.032401,          0.00011089,             0.59099,             0.78326,             0.55736,              0.3577,            0.030905,            0.035622,           0.0002042,           0.0033175,           0.0033175,           0.0033175
                 137,            0.026836,              0.0319,          0.00011675,             0.60724,             0.78237,             0.59516,             0.38429,            0.031751,            0.036466,           0.0002532,            0.003268,            0.003268,            0.003268
                 138,            0.026897,            0.031958,          0.00010951,              0.5887,             0.72232,             0.56218,             0.36014,             0.03099,            0.035564,          9.9555e-05,           0.0032185,           0.0032185,           0.0032185
                 139,            0.027177,            0.031929,          0.00010866,             0.54929,             0.65627,             0.52592,             0.34238,            0.031252,            0.036004,          0.00022058,            0.003169,            0.003169,            0.003169
                 140,            0.026513,            0.031768,          0.00011298,             0.66299,             0.78237,             0.66747,             0.43836,            0.030476,            0.035098,          0.00023521,           0.0031195,           0.0031195,           0.0031195
                 141,            0.026565,            0.032679,          0.00012311,             0.59594,              0.7817,             0.57362,             0.36872,            0.030965,            0.035873,          0.00025761,             0.00307,             0.00307,             0.00307
                 142,            0.026776,            0.032038,           0.0001026,             0.64438,              0.7817,             0.62492,             0.39464,            0.031081,            0.036016,          0.00025141,           0.0030205,           0.0030205,           0.0030205
                 143,            0.027282,             0.03227,          0.00014482,             0.59523,             0.58805,             0.54242,              0.3548,             0.03109,            0.036157,          0.00028764,            0.002971,            0.002971,            0.002971
                 144,            0.026597,            0.032075,          0.00010723,             0.59127,             0.78103,             0.55726,             0.36266,            0.031051,            0.036551,          0.00018777,           0.0029215,           0.0029215,           0.0029215
                 145,            0.026532,            0.031689,          0.00013954,             0.65429,             0.71122,             0.58086,             0.38217,            0.031106,            0.036995,          0.00039437,            0.002872,            0.002872,            0.002872
                 146,            0.026428,            0.031336,          0.00011604,             0.71918,             0.77411,             0.71204,             0.47759,            0.030916,            0.035647,          0.00019772,           0.0028225,           0.0028225,           0.0028225
                 147,            0.026576,            0.032468,          7.9569e-05,             0.59435,             0.78259,             0.57292,             0.37783,            0.031318,            0.036464,          0.00019756,            0.002773,            0.002773,            0.002773
